Fecha;Últ precio;Volumen;;;;;;
12/08/2019;93,85;1238156;;;;;;
9/08/2019;95,58;1459474;;;;;;
8/08/2019;95,77;1947041;;;;;;
7/08/2019;93,4;2549962;;;;;;
6/08/2019;92,56;3267627;;;;;;
5/08/2019;91,35;3022489;;;;;;
2/08/2019;93,91;1756006;;;;;;
1/08/2019;95,25;1873950;;;;;;
31/07/2019;96,55;2279438;;;;;;
30/07/2019;97,31;984350;;;;;;
29/07/2019;97,4;1868546;;;;;;
26/07/2019;97,21;1914856;;;;;;
25/07/2019;96,4;2059287;;;;;;
24/07/2019;95,31;2982631;;;;;;
23/07/2019;95,12;3851403;;;;;;
22/07/2019;93,24;3080656;;;;;;
19/07/2019;94,53;3074341;;;;;;
18/07/2019;97,1;1729404;;;;;;
17/07/2019;97,77;1847892;;;;;;
16/07/2019;99,88;3338650;;;;;;
15/07/2019;99,2;1975536;;;;;;
12/07/2019;99,54;2715732;;;;;;
11/07/2019;100,7;1477177;;;;;;
10/07/2019;99,19;2222226;;;;;;
9/07/2019;99;2068107;;;;;;
8/07/2019;100,19;1781951;;;;;;
5/07/2019;100,6;1203190;;;;;;
3/07/2019;100,64;1150740;;;;;;
2/07/2019;100,39;2873224;;;;;;
1/07/2019;99,3;2980621;;;;;;
28/06/2019;97,74;3600346;;;;;;
27/06/2019;96,53;1568531;;;;;;
26/06/2019;94,52;1636606;;;;;;
25/06/2019;93,25;2320851;;;;;;
24/06/2019;95,51;1289121;;;;;;
21/06/2019;96,14;2107994;;;;;;
20/06/2019;96,87;2170727;;;;;;
19/06/2019;95,76;1561998;;;;;;
18/06/2019;95,1;1642210;;;;;;
17/06/2019;93,21;950369;;;;;;
14/06/2019;93,42;887041;;;;;;
13/06/2019;93,03;1124114;;;;;;
12/06/2019;93,35;894474;;;;;;
11/06/2019;93,93;1108709;;;;;;
10/06/2019;93,03;1845348;;;;;;
7/06/2019;92,51;1783002;;;;;;
6/06/2019;91;1376154;;;;;;
5/06/2019;90;1777282;;;;;;
4/06/2019;90,32;2278152;;;;;;
3/06/2019;88,43;2651335;;;;;;
31/05/2019;89,44;1954158;;;;;;
30/05/2019;89,66;1598097;;;;;;
29/05/2019;88,91;2052275;;;;;;
28/05/2019;89,2;1923798;;;;;;
24/05/2019;89,91;2685196;;;;;;
23/05/2019;90,66;5317765;;;;;;
22/05/2019;92,02;1380694;;;;;;
21/05/2019;92,11;2499729;;;;;;
20/05/2019;91,47;2462840;;;;;;
17/05/2019;92,93;1710194;;;;;;
16/05/2019;94,05;1600662;;;;;;
15/05/2019;93,65;2264723;;;;;;
14/05/2019;91,74;2260180;;;;;;
13/05/2019;89,37;1929184;;;;;;
10/05/2019;91,53;1782255;;;;;;
9/05/2019;91,14;1773726;;;;;;
8/05/2019;90,7;2273016;;;;;;
7/05/2019;90,49;1893988;;;;;;
6/05/2019;92,3;2378771;;;;;;
3/05/2019;93,33;2559066;;;;;;
2/05/2019;91,23;2553861;;;;;;
1/05/2019;92,6;5933002;;;;;;
30/04/2019;86,99;4313388;;;;;;
29/04/2019;87,25;3069403;;;;;;
26/04/2019;88,01;2292272;;;;;;
25/04/2019;87,63;1156040;;;;;;
24/04/2019;87,5;3268710;;;;;;
23/04/2019;87,91;2799633;;;;;;
22/04/2019;87,91;2224982;;;;;;
18/04/2019;87,23;1717573;;;;;;
17/04/2019;87,76;2058867;;;;;;
16/04/2019;88,15;1619397;;;;;;
15/04/2019;88,17;1371889;;;;;;
12/04/2019;88,73;1337361;;;;;;
11/04/2019;88,53;1696623;;;;;;
10/04/2019;87,99;1039602;;;;;;
9/04/2019;87,1;2480350;;;;;;
8/04/2019;88,18;1561404;;;;;;
5/04/2019;87,44;2618366;;;;;;
4/04/2019;87,31;2016092;;;;;;
3/04/2019;86,79;2853849;;;;;;
2/04/2019;85,04;3389126;;;;;;
1/04/2019;84,15;3434438;;;;;;
29/03/2019;83,11;2857057;;;;;;
28/03/2019;83,21;1977047;;;;;;
27/03/2019;82,45;3627208;;;;;;
26/03/2019;83,5;3342360;;;;;;
25/03/2019;84,02;1488459;;;;;;
22/03/2019;84,57;3209543;;;;;;
21/03/2019;85,79;2076170;;;;;;
20/03/2019;84,92;2879706;;;;;;
19/03/2019;85,7;1432992;;;;;;
18/03/2019;86,21;1983453;;;;;;
15/03/2019;85,76;3775246;;;;;;
14/03/2019;85;2363070;;;;;;
13/03/2019;83,67;2345271;;;;;;
12/03/2019;83,41;2266863;;;;;;
11/03/2019;82,8;2246253;;;;;;
8/03/2019;82,45;1969962;;;;;;
7/03/2019;82,92;2269496;;;;;;
6/03/2019;83,96;1713387;;;;;;
5/03/2019;84,01;1773519;;;;;;
4/03/2019;83,38;2265295;;;;;;
1/03/2019;83,78;1972005;;;;;;
28/02/2019;83,1;1796808;;;;;;
27/02/2019;83,49;2241371;;;;;;
26/02/2019;83,49;2368568;;;;;;
25/02/2019;83,55;2244750;;;;;;
22/02/2019;85,03;2639223;;;;;;
21/02/2019;83,25;2199550;;;;;;
20/02/2019;83,34;4124145;;;;;;
19/02/2019;81,39;3863753;;;;;;
15/02/2019;81,75;3387353;;;;;;
14/02/2019;80,16;3729871;;;;;;
13/02/2019;79,37;5722906;;;;;;
12/02/2019;74,32;3117365;;;;;;
11/02/2019;74,4;3526947;;;;;;
8/02/2019;73,91;2723464;;;;;;
7/02/2019;74,68;2444917;;;;;;
6/02/2019;75,57;2061388;;;;;;
5/02/2019;74,62;2088766;;;;;;
4/02/2019;74,73;3136591;;;;;;
1/02/2019;74,42;3478198;;;;;;
31/01/2019;74,48;2533926;;;;;;
30/01/2019;74,13;3939185;;;;;;
29/01/2019;73,15;1766289;;;;;;
28/01/2019;72,31;1919529;;;;;;
25/01/2019;71,76;3156659;;;;;;
24/01/2019;71,06;2560185;;;;;;
23/01/2019;70,73;3359512;;;;;;
22/01/2019;71,01;3260543;;;;;;
18/01/2019;73,08;2561363;;;;;;
17/01/2019;72;2579294;;;;;;
16/01/2019;72,04;3325959;;;;;;
15/01/2019;72,5;2376277;;;;;;
14/01/2019;70,99;2943300;;;;;;
11/01/2019;71,89;2191224;;;;;;
10/01/2019;72,07;2409586;;;;;;
9/01/2019;71,04;1760854;;;;;;
8/01/2019;71,86;6212985;;;;;;
7/01/2019;70,74;3171175;;;;;;
4/01/2019;69,94;4110690;;;;;;
