upc,descrip,price,q,sales,volsales,unit,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6
2210000700,HAMMS LIGHT BEER,.48182681,1001.6669,482.62997,355591.7627,Oz,HAMMS,LIGHT,BEER,,,
2210009510,PABST GENUINE DRAFT,.33293805,1727.4255,574.85999,613236.0938,Oz,PABST,GENUINE,DRAFT,,,
2210014392,OLD ENGLISH BEER 800,.47810385,13545.495,6474.9502,4808650.88,Oz,OLD,ENGLISH,BEER,800,,
2210018500,HAMMS BEER,.45381752,851.7168,372.09,302359.4629,Oz,HAMMS,BEER,,,,
2210018510,HAMMS BEER,.33161864,223749.59,71853.07,79431108.45,Oz,HAMMS,BEER,,,,
2210018570,HAMMS DRAFT BEER,.40496793,347.88431,136.97,123498.9375,Oz,HAMMS,DRAFT,BEER,,,
2210018580,HAMMS DRAFT BEER,.33051899,163409.66,52836.898,58010431.07,Oz,HAMMS,DRAFT,BEER,,,
2210021500,HAMMS LIGHT BEER,.46598822,95.968086,44.719997,34068.67188,Oz,HAMMS,LIGHT,BEER,,,
2210021510,HAMMS LIGHT BEER,.32963181,72791.797,23362.029,25841087.66,Oz,HAMMS,LIGHT,BEER,,,
2210047510,PABST LIGHT,.31635517,1559.4814,493.35001,553615.9179999999,Oz,PABST,LIGHT,,,,
2556924161,SUMMIT EXTRA PALE AL,1.0080847,1421.5273,1424.13,504642.2021,Oz,SUMMIT,EXTRA,PALE,AL,,
2556971416,SUMMIT PORTER - UNIO,1.1520497,161.94615,184.73,57490.88379,Oz,SUMMIT,PORTER,-,UNIO,,
2791610005,PIKE PLACE PALE ALE,1.1653874,5.9980054,6.9899998,2129.291992,Oz,PIKE,PLACE,PALE,ALE,,
2981520001,ZYWIEC POLISH BEER N,.99333912,22156.633,21819.689,7865604.606,Oz,ZYWIEC,POLISH,BEER,N,,
2981520002,OKOCIM POLISH BEER N,.99750668,31729.449,31627.6,11263954.67,Oz,OKOCIM,POLISH,BEER,N,,
3354494405,TSINGTAO BEER,1.0691065,8973.0166,9460.5596,3185420.823,Oz,TSINGTAO,BEER,,,,
3410000004,MILLER HIGH LIFE BEE,.62108868,208544.66,128875.73,74033353.39,Oz,MILLER,HIGH,LIFE,BEE,,
3410000007,MILLER HIGH LIFE BEE,.53243238,48167.98,22861.299,17099633.74,Oz,MILLER,HIGH,LIFE,BEE,,
3410000008,MILLER HIGH LIFE N.R,.66314441,13870.055,8772.6396,4923869.364,Oz,MILLER,HIGH,LIFE,N.R,,
3410000031,MILLER HIGH LIFE N.R,.68124354,90628.531,56662.949,32173128.38,Oz,MILLER,HIGH,LIFE,N.R,,
3410000091,MAGNUM MALT LIQUOR,.36612171,15258.259,5297.0698,5416681.997,Oz,MAGNUM,MALT,LIQUOR,,,
3410000104,MEISTER BRAU BEER,.38303834,234869.91,84104.375,83378816.06,Oz,MEISTER,BRAU,BEER,,,
3410000129,MILLER RED DOG CANS,.66460901,11870.053,7883.7495,4213868.854,Oz,MILLER,RED,DOG,CANS,,
3410000144,RED DOG 22OZ NR,.85619366,186.93785,158.18001,66362.93541999999,Oz,RED,DOG,22OZ,NR,,
3410000154,MILWAUKEE'S BEST BEE,.38682383,470321.63,174306.41,166964173.4,Oz,MILWAUKEE'S,BEST,BEE,,,
3410000304,MILLER SHARP'S N/A C,.51312816,85555.547,43933.578,30372221.01,Oz,MILLER,SHARP'S,N/A,C,,
3410000354,MILLER LITE BEER,.63286161,1302167,816713.31,462269292.7,Oz,MILLER,LITE,BEER,,,
3410000357,MILLER LITE BEER,.61262196,30861.736,18633.559,10955916.79,Oz,MILLER,LITE,BEER,,,
