"","upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal","ale","lager","Alcohol_volumen","Ano_fund","Sigue"
"136","7336098621","CHAMPALE PINK N.R.BT","0.92280674","19.993351","18.450001","7097.639771","Oz","CHAMPALE  ","0","0","","","","",""
"137","7336098671","CHAMPALE EXTRA DRY N","0.92280674","11.996011","11.07","4258.583862","Oz","CHAMPALE  ","0","0","","","","",""
"138","7336098678","CHAMPALE GOLDEN N R","0.92280674","35.988033","33.209999","12775.75159","Oz","CHAMPALE  ","0","0","","","","",""
"139","2017224253","CHERRY RAIL BEER","1.1653874","5.9980054","6.9899998","2129.291992","Oz","CHERRY RAIL","0","0","","","","",""
"140","9781611110","CHICAGO'S LEGACY LAG","0.93197644","11.996011","11.179999","4258.583984","Oz","CHICAGO'S  ","0","0","","","","",""
"141","4257205715","CLAUSTHALER GERMAN N","0.99608898","88050.719","86096.172","31258006.51","Oz","CLAUSTHALER  ","1","0","","","","",""
"142","7231163029","CLAUSTHALER GERMAN N","0.97324127","61533.539","59022.508","21844406.56","Oz","CLAUSTHALER  ","1","0","","","","",""
"143","8178051239","COLD SPRING PALE ALE","0.89481723","1085.639","959.68994","385401.8506","Oz","COLD SPRINGS ","0","0","","","","",""
"144","8178052250","COLD SPRINGS RIVER R","0.90404749","1259.5812","1134.3999","447151.3184","Oz","COLD SPRINGS ","0","0","","","","",""
"145","7125000018","COLT 45 QT","0.37137344","48746.457","18103.141","17304992.46","Oz","COLT 45 ","0","0","","","","",""
"146","7125000019","COLT 45 BEER NR BTL.","0.54754722","18303.912","10069.63","6497889.127","Oz","COLT 45 ","0","0","","","","",""
"147","8952341503","COOPERS STOUT","1.1086675","809.73071","888.14996","287454.4189","Oz","COOPERS  ","1","0","","","","",""
"148","720","COORS BEER","0.46848905","95.968086","44.959999","34068.67188","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"149","721","COORS EXTRA GOLD BEE","0.54143","23.992022","12.99","8517.167969","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"150","4327900100","COORS PARTY BALL TAP","0.87336624","2627.1265","2286.8098","932629.8926","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"151","7199000007","COORS BEER","0.63497955","9938.6953","6318.7798","3528236.83","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"152","7199000021","COORS BEER N.R.BTLS","0.6338774","251.91623","159.17999","89430.26367","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"153","7199000025","COORS LIGHT BEER N.R","0.64060974","281.90625","180.63","100076.7236","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"154","7199000027","COORS BEER","0.62307131","65378.258","40518.848","23209282.72","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"155","7199000028","COORS LIGHT BEER","0.62487662","125736.19","78011.547","44636348.06","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"156","7199000041","COORS BEER N.R.BTLS","0.5919475","2771.0786","1555.2699","983732.8984","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"157","7199000047","COORS BEER","0.54329008","369297.19","185797.92","131100508.2","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"158","7199000048","COORS LIGHT BEER","0.55705023","731336.81","378390.78","259624573.3","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"159","7199009001","COORS WINTERFEST BEE","0.83154064","10706.439","8897.9004","3800786.215","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"160","7199010001","COORS BEER","0.6395613","16901.047","10555.53","5999871.551","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"161","7199010005","COORS REG BEER PARTY","0.43872246","7378.7134","3211.02","2619443.252","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"162","7199010006","COORS REGULAR LONGNE","0.61695516","140479.28","81569.734","49870147.83","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"163","7199011600","COORS BEER","0.46891445","675591.38","306942.69","239834933.2","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"164","7199030001","COORS LIGHT BEER","0.64622825","7418.8667","4756.4702","2633697.565","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"165","7199030004","COORS LIGHT BEER PAR","0.44837898","8535.0791","3814.45","3029953.012","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"166","7199030005","COORS LIGHT LONGNECK","0.62584764","249607","149148.13","88610486.46","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"167","7199031600","COORS LIGHT BEER","0.47291827","1265003.4","581894.44","449076199.4","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"168","7199036400","COORS LIGHT BEER N.R","0.60483843","12739.764","7477.3896","4522616.193","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"169","7199038006","COORS RED LIGHT LNNR","0.6652211","155.94814","103.73999","55361.5918","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"170","7199038011","COORS RED LIGHT NR B","0.66605473","23.992022","15.98","8517.167969","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"171","7199077005","COORS CUTTER NON-ALC","0.6035468","261279.13","150245.67","92754088.65","Oz","COORS  ","0","0","no","si","4.2","1978","si"
